rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife
3662,Charlestown,apartment,3.0,2.0,5,1,2,2,Lowest,56,5,0,1,1,1,1,1,1,0,220,41,66
1500,Charlestown,multifamily,1.0,1.0,5,1,2,2,Lowest,56,2,1,1,0,0,0,0,1,1,297,44,99
1950,Charlestown,multifamily,2.0,1.0,6,2,2,2,Moderate,56,3,1,0,0,0,1,1,1,0,307,67,108
1500,Charlestown,multifamily,1.0,1.0,8,2,3,3,Lowest,56,2,1,0,0,0,0,1,1,0,543,75,194
2200,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,1,0,1,0,0,0,0,1,0,427,68,150
2150,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,2,1,1,0,0,0,0,1,1,233,34,83
2650,Charlestown,multifamily,3.0,1.0,6,2,2,2,Lowest,56,1,1,0,0,0,0,0,1,0,245,38,82
2295,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,1,1,0,0,0,0,0,1,0,281,37,97
2800,Charlestown,multifamily,3.0,1.0,6,2,2,2,Low,56,1,1,0,0,0,0,0,1,0,459,69,161
3150,Charlestown,multifamily,3.0,1.0,6,2,2,2,Lowest,56,1,1,0,0,0,0,0,1,0,409,62,135
2275,Charlestown,multifamily,2.0,1.0,8,2,3,3,Lowest,56,1,1,0,0,0,0,0,1,0,543,75,194
1750,Charlestown,multifamily,1.0,1.0,8,2,3,3,Lowest,56,1,1,0,0,0,0,0,1,0,511,74,181
3300,Charlestown,multifamily,3.0,1.0,8,2,3,3,Moderate,56,3,1,0,0,1,1,0,0,0,426,64,146
2295,Charlestown,multifamily,2.0,1.0,8,2,3,3,Lowest,56,1,1,0,0,0,0,0,1,0,543,75,194
2750,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,1,1,0,0,0,0,0,1,0,361,64,123
2750,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,4,1,1,0,1,1,0,1,0,276,43,94
2500,Charlestown,multifamily,2.0,1.0,5,1,2,2,Lowest,56,5,1,0,1,1,1,1,1,0,258,38,93
2750,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,4,1,1,0,1,1,0,1,0,276,43,94
2600,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,1,0,0,0,0,0,1,1,0,376,64,125
1850,Charlestown,multifamily,1.0,1.0,8,2,3,3,Lowest,56,1,1,0,0,0,0,0,1,0,543,75,194
2750,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,1,1,0,0,0,0,0,1,0,369,65,123
2750,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,0,0,0,0,0,0,0,1,0,369,65,123
3000,Charlestown,multifamily,3.0,2.0,5,1,2,2,Lowest,56,3,1,0,1,0,0,1,1,0,237,37,82
3300,Charlestown,multifamily,3.0,2.0,6,2,2,2,Lowest,56,4,1,1,0,1,1,0,1,1,358,66,123
4200,Charlestown,multifamily,4.0,2.0,6,2,2,2,Lowest,56,4,1,1,0,1,1,0,1,0,225,46,68
3400,Charlestown,multifamily,3.0,2.0,6,2,2,2,Lowest,56,2,1,1,0,0,0,0,1,0,323,54,105
2250,Charlestown,multifamily,1.0,1.0,6,2,2,2,Lowest,56,3,1,0,0,1,1,0,1,0,205,30,74
2800,Charlestown,multifamily,2.0,2.0,6,2,2,2,Lowest,56,2,1,1,0,0,0,0,1,1,348,64,112
2800,Charlestown,multifamily,2.0,1.5,5,1,2,2,Lowest,56,5,1,1,1,1,1,0,1,0,258,38,93
4200,Charlestown,multifamily,4.0,2.0,6,2,2,2,Lowest,56,3,1,0,0,1,1,0,1,0,225,46,68
